tourney_id,tourney_name,tourney_date,surface,winner,country_winner,loser,country_loser,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,aces
2018-M006,Indian Wells Masters,20180305,Hard,"Chardy, Jeremy",FRA,"Mannarino, Adrian",FRA,7-5 4-6 6-1,3,R32,118.0,11.0,5.0,75.0,48.0,42.0,14.0,15.0,0.0,1.0,7.0,10.0,101.0,67.0,45.0,15.0,14.0,8.0,11.0,100.0,580.0,23.0,1715.0,6.0
2018-M010,S-Hertogenbosch,20180611,Grass,"Chardy, Jeremy",FRA,"Mannarino, Adrian",FRA,6-4 6-4,3,R16,74.0,10.0,1.0,49.0,33.0,30.0,10.0,10.0,0.0,0.0,3.0,4.0,65.0,43.0,33.0,7.0,10.0,4.0,6.0,72.0,780.0,25.0,1535.0,8.0
2018-0328,Basel,20181022,Hard,"Lajovic, Dusan",SRB,"Mannarino, Adrian",FRA,6-7(4) 6-1 6-2,3,R32,124.0,5.0,1.0,84.0,58.0,39.0,15.0,13.0,1.0,3.0,6.0,3.0,100.0,61.0,35.0,20.0,14.0,8.0,15.0,49.0,950.0,44.0,1090.0,2.0
2018-0352,Paris Masters,20181029,Hard,"Nishikori, Kei",JPN,"Mannarino, Adrian",FRA,7-5 6-4,3,R32,87.0,6.0,2.0,65.0,39.0,30.0,18.0,11.0,0.0,0.0,2.0,2.0,66.0,41.0,33.0,10.0,11.0,0.0,2.0,11.0,3210.0,46.0,1045.0,4.0
2018-560,Us Open,20180827,Hard,"Tiafoe, Francis",USA,"Mannarino, Adrian",FRA,6-1 6-4 4-6 6-4,5,R128,157.0,10.0,3.0,121.0,73.0,54.0,26.0,19.0,5.0,7.0,9.0,4.0,112.0,67.0,43.0,25.0,18.0,7.0,12.0,44.0,1055.0,29.0,1365.0,4.0
2018-0329,Tokyo,20181001,Hard,"Raonic, Milos",CAN,"Mannarino, Adrian",FRA,6-3 6-4,3,R32,68.0,17.0,3.0,48.0,36.0,33.0,7.0,10.0,0.0,0.0,6.0,3.0,52.0,30.0,23.0,9.0,9.0,1.0,3.0,20.0,1755.0,33.0,1285.0,15.0
2018-0315,Newport,20180716,Grass,"Granollers, Marcel",ESP,"Mannarino, Adrian",FRA,6-3 6-1,3,QF,62.0,6.0,2.0,46.0,20.0,13.0,18.0,8.0,1.0,2.0,0.0,3.0,46.0,28.0,14.0,8.0,8.0,7.0,12.0,124.0,466.0,26.0,1580.0,6.0
2018-M-DC-2018-G1-EPA-M-AUT-BLR-01,Davis Cup G1 R1: AUT vs BLR,20180202,Clay,"Thiem, Dominic",AUT,"Zhyrmont, Dzmitry",BLR,6-3 6-3,3,RR,73.0,5.0,1.0,56.0,38.0,28.0,12.0,9.0,2.0,2.0,4.0,2.0,58.0,31.0,23.0,11.0,9.0,1.0,4.0,6.0,4060.0,389.0,106.0,4.0
2018-M021,Madrid Masters,20180507,Clay,"Thiem, Dominic",AUT,"Nadal, Rafael",ESP,7-5 6-3,3,QF,116.0,2.0,5.0,60.0,39.0,29.0,9.0,10.0,3.0,5.0,3.0,2.0,77.0,45.0,29.0,11.0,11.0,7.0,12.0,7.0,3545.0,1.0,8770.0,1.0
2018-580,Australian Open,20180115,Hard,"Cilic, Marin",CRO,"Nadal, Rafael",ESP,3-6 6-3 6-7(5) 6-2 2-0 RET,5,QF,227.0,20.0,8.0,138.0,93.0,72.0,17.0,20.0,8.0,10.0,3.0,2.0,164.0,123.0,83.0,13.0,20.0,14.0,19.0,6.0,3805.0,1.0,10600.0,5.0
2018-560,Us Open,20180827,Hard,"Del Potro, Juan Martin",ARG,"Nadal, Rafael",ESP,7-6(3) 6-2 RET,5,SF,121.0,2.0,0.0,65.0,43.0,30.0,12.0,11.0,0.0,2.0,4.0,1.0,71.0,53.0,32.0,7.0,10.0,8.0,12.0,3.0,5500.0,1.0,10040.0,1.0
