tourney_id,tourney_name,tourney_date,surface,winner,country_winner,loser,country_loser,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced,winner_rank,winner_rank_points,loser_rank,loser_rank_points,aces
2018-M020,Brisbane,20180101,Hard,"Harrison, Ryan",USA,"Mayer, Leonardo",ARG,6-4 3-6 6-2,3,R32,123.0,9.0,2.0,82.0,49.0,39.0,20.0,13.0,8.0,9.0,10.0,3.0,80.0,47.0,33.0,19.0,14.0,1.0,4.0,47.0,1010.0,52.0,909.0,4.0
2018-6242,Winston Salem,20180820,Hard,"Edmund, Kyle",GBR,"Mayer, Leonardo",ARG,6-3 6-3,3,R32,72.0,3.0,3.0,47.0,29.0,27.0,10.0,9.0,0.0,0.0,7.0,5.0,54.0,31.0,24.0,8.0,9.0,2.0,5.0,16.0,1985.0,41.0,1061.0,2.0
2018-M016,Eastbourne,20180625,Grass,"Millman, John",AUS,"Mayer, Leonardo",ARG,7-6(7) 7-6(4),3,R16,121.0,3.0,1.0,83.0,58.0,39.0,16.0,12.0,6.0,8.0,5.0,2.0,93.0,53.0,39.0,18.0,12.0,5.0,7.0,62.0,906.0,36.0,1227.0,1.0
2018-M007,Miami Masters,20180319,Hard,"Coric, Borna",CRO,"Mayer, Leonardo",ARG,6-7(5) 6-3 6-4,3,R64,176.0,5.0,4.0,112.0,70.0,56.0,20.0,16.0,8.0,9.0,10.0,8.0,107.0,54.0,42.0,25.0,15.0,4.0,7.0,36.0,1366.0,45.0,1080.0,2.0
2018-0414,Hamburg,20180723,Clay,"Basilashvili, Nikoloz",RUS,"Mayer, Leonardo",ARG,6-4 0-6 7-5,3,F,132.0,4.0,8.0,90.0,42.0,33.0,23.0,14.0,6.0,9.0,9.0,4.0,87.0,57.0,45.0,12.0,14.0,2.0,4.0,81.0,715.0,36.0,1197.0,2.0
2018-6932,Rio De Janeiro,20180219,Clay,"Verdasco, Fernando",ESP,"Mayer, Leonardo",ARG,6-2 3-6 6-3,3,R32,116.0,4.0,6.0,81.0,50.0,40.0,16.0,13.0,5.0,6.0,4.0,5.0,78.0,44.0,30.0,19.0,13.0,2.0,5.0,40.0,1260.0,49.0,999.0,2.0
2018-0316,Bastad,20180716,Clay,"Berrettini, Matteo",ITA,"Mayer, Leonardo",ARG,3-6 6-3 6-4,3,R32,127.0,5.0,3.0,86.0,40.0,29.0,28.0,14.0,6.0,8.0,2.0,5.0,86.0,57.0,37.0,16.0,14.0,1.0,4.0,75.0,757.0,36.0,1197.0,2.0
2018-M015,Beijing,20181001,Hard,"Berrettini, Matteo",ITA,"Mayer, Leonardo",ARG,6-3 6-2,3,R32,75.0,4.0,4.0,50.0,31.0,25.0,11.0,8.0,5.0,5.0,3.0,4.0,55.0,36.0,23.0,6.0,9.0,2.0,6.0,58.0,879.0,52.0,965.0,3.0
2018-0506,Buenos Aires,20180212,Clay,"Monfils, Gael",FRA,"Mayer, Leonardo",ARG,6-4 3-6 6-3,3,QF,122.0,3.0,0.0,84.0,62.0,40.0,15.0,14.0,3.0,5.0,4.0,8.0,87.0,52.0,36.0,20.0,14.0,3.0,6.0,43.0,1175.0,50.0,974.0,1.0
2018-540,Wimbledon,20180702,Grass,"Struff, Jan Lennard",GER,"Mayer, Leonardo",ARG,3-6 6-7(5) 7-6(5) 7-6(5) 6-1,5,R128,209.0,17.0,6.0,156.0,96.0,86.0,32.0,28.0,2.0,4.0,14.0,9.0,163.0,103.0,80.0,37.0,27.0,7.0,9.0,64.0,865.0,36.0,1235.0,5.0
2018-5014,Shanghai Masters,20181008,Hard,"Gasquet, Richard",FRA,"Mayer, Leonardo",ARG,1-6 6-2 6-1,3,R64,89.0,5.0,0.0,64.0,45.0,29.0,11.0,11.0,4.0,6.0,9.0,2.0,63.0,36.0,22.0,16.0,11.0,1.0,5.0,25.0,1670.0,53.0,936.0,3.0
2018-560,Us Open,20180827,Hard,"Djere, Laslo",SRB,"Mayer, Leonardo",ARG,6-4 6-4 4-6 2-1 RET,5,R128,147.0,8.0,6.0,102.0,48.0,36.0,27.0,17.0,6.0,10.0,5.0,9.0,96.0,62.0,42.0,13.0,16.0,1.0,7.0,89.0,636.0,43.0,1061.0,3.0
2018-7290,Estoril,20180430,Clay,"Jarry, Nicolas",CHI,"Mayer, Leonardo",ARG,3-6 7-6(7) 6-4,3,R32,136.0,3.0,0.0,95.0,71.0,53.0,14.0,15.0,4.0,6.0,8.0,4.0,104.0,67.0,50.0,19.0,16.0,4.0,6.0,65.0,822.0,45.0,1086.0,1.0
2018-0328,Basel,20181022,Hard,"Simon, Gilles",FRA,"Mayer, Leonardo",ARG,6-3 6-3,3,R32,63.0,1.0,1.0,50.0,27.0,23.0,16.0,9.0,2.0,2.0,5.0,2.0,54.0,32.0,24.0,7.0,9.0,0.0,3.0,32.0,1290.0,54.0,930.0,1.0
2018-M001,Sydney,20180108,Hard,"Paire, Benoit",FRA,"Mayer, Leonardo",ARG,6-2 3-6 6-1,3,R16,73.0,7.0,2.0,58.0,34.0,28.0,18.0,12.0,2.0,3.0,5.0,2.0,64.0,44.0,30.0,9.0,12.0,0.0,4.0,42.0,1155.0,52.0,909.0,6.0
2018-0425,Barcelona,20180423,Clay,"Khachanov, Karen",RUS,"Mayer, Leonardo",ARG,6-4 6-3,3,R32,93.0,2.0,1.0,62.0,43.0,34.0,10.0,9.0,4.0,4.0,3.0,2.0,72.0,46.0,27.0,14.0,10.0,11.0,14.0,37.0,1300.0,45.0,1073.0,1.0
2018-0533,Sao Paulo,20180226,Clay,"Cuevas, Pablo",URU,"Mayer, Leonardo",ARG,6-2 6-7(13) 7-6(5),3,QF,176.0,6.0,2.0,112.0,75.0,58.0,23.0,16.0,1.0,2.0,7.0,1.0,118.0,65.0,50.0,30.0,16.0,5.0,8.0,31.0,1470.0,49.0,999.0,2.0
2018-M006,Indian Wells Masters,20180305,Hard,"Del Potro, Juan Martin",ARG,"Mayer, Leonardo",ARG,3-6 7-6(2) 6-3,3,R16,149.0,6.0,3.0,89.0,56.0,43.0,18.0,14.0,5.0,7.0,8.0,2.0,110.0,67.0,48.0,22.0,16.0,7.0,10.0,8.0,3200.0,47.0,1044.0,2.0
2018-580,Australian Open,20180115,Hard,"Nadal, Rafael",ESP,"Mayer, Leonardo",ARG,6-3 6-4 7-6(4),5,R64,158.0,4.0,1.0,94.0,69.0,55.0,15.0,16.0,4.0,5.0,15.0,6.0,109.0,71.0,49.0,17.0,15.0,9.0,12.0,1.0,10600.0,52.0,929.0,2.0
2018-M021,Madrid Masters,20180507,Clay,"Zverev, Alexander",GER,"Mayer, Leonardo",ARG,6-4 6-2,3,R16,70.0,3.0,0.0,45.0,33.0,27.0,10.0,9.0,1.0,1.0,0.0,0.0,57.0,38.0,20.0,12.0,9.0,2.0,5.0,3.0,5195.0,45.0,1086.0,3.0
2018-M009,Rome Masters,20180514,Clay,"Goffin, David",BEL,"Mayer, Leonardo",ARG,6-1 6-2,3,R64,61.0,2.0,2.0,41.0,28.0,23.0,10.0,8.0,0.0,0.0,3.0,3.0,44.0,26.0,16.0,6.0,7.0,1.0,5.0,10.0,2930.0,42.0,1176.0,2.0
2018-520,Roland Garros,20180528,Clay,"Benneteau, Julien",FRA,"Mayer, Leonardo",ARG,2-6 7-6(4) 6-2 6-3,5,R128,185.0,10.0,6.0,120.0,69.0,54.0,29.0,19.0,4.0,6.0,9.0,6.0,141.0,78.0,57.0,29.0,18.0,10.0,13.0,62.0,882.0,42.0,1186.0,3.0
2018-M024,Cincinnati Masters,20180813,Hard,"Federer, Roger",SUI,"Mayer, Leonardo",ARG,6-1 7-6(6),3,R16,72.0,10.0,1.0,54.0,38.0,34.0,11.0,10.0,0.0,0.0,2.0,4.0,62.0,36.0,28.0,10.0,9.0,5.0,7.0,2.0,6480.0,50.0,987.0,8.0
2018-0311,London,20180618,Grass,"Tiafoe, Francis",USA,"Mayer, Leonardo",ARG,6-4 2-6 6-4,3,R16,110.0,10.0,2.0,85.0,51.0,41.0,17.0,14.0,4.0,6.0,10.0,2.0,78.0,51.0,42.0,14.0,14.0,5.0,7.0,62.0,903.0,38.0,1182.0,5.0
2018-7485,Antwerp,20181015,Hard,"Pospisil, Vasek",CAN,"Mayer, Leonardo",ARG,6-3 7-5,3,R32,75.0,10.0,0.0,56.0,34.0,28.0,18.0,11.0,1.0,1.0,5.0,0.0,53.0,33.0,21.0,15.0,10.0,1.0,3.0,79.0,706.0,53.0,930.0,8.0
2018-M020,Brisbane,20180101,Hard,"Harrison, Ryan",USA,"Hanfmann, Yannick",GER,6-7(5) 6-4 6-2,3,R16,145.0,19.0,5.0,96.0,54.0,43.0,23.0,15.0,8.0,9.0,5.0,5.0,115.0,68.0,50.0,17.0,15.0,7.0,11.0,47.0,1010.0,119.0,499.0,8.0
2018-0308,Munich,20180430,Clay,"Zverev, Alexander",GER,"Hanfmann, Yannick",GER,6-7(12) 6-4 6-2,3,R16,129.0,8.0,2.0,91.0,67.0,47.0,15.0,15.0,0.0,2.0,3.0,2.0,117.0,82.0,48.0,19.0,15.0,8.0,13.0,3.0,5195.0,118.0,465.0,4.0
2018-7161,Quito,20180205,Clay,"Quiroz, Roberto",ECU,"Hanfmann, Yannick",GER,7-6(5) 6-3,3,R32,79.0,0.0,2.0,72.0,41.0,26.0,20.0,10.0,0.0,1.0,5.0,3.0,68.0,45.0,33.0,10.0,11.0,0.0,3.0,282.0,176.0,113.0,504.0,0.0
2018-0314,Gstaad,20180723,Clay,"Zopp, Jurgen",EST,"Hanfmann, Yannick",GER,3-6 6-3 7-6(4),3,R32,129.0,5.0,5.0,113.0,60.0,46.0,26.0,15.0,11.0,13.0,7.0,2.0,101.0,67.0,52.0,13.0,15.0,9.0,11.0,107.0,529.0,99.0,580.0,2.0
2018-560,Us Open,20180827,Hard,"Kohlschreiber, Philipp",GER,"Hanfmann, Yannick",GER,7-6(3) 5-7 6-4 6-4,5,R128,202.0,13.0,6.0,154.0,93.0,70.0,35.0,22.0,7.0,8.0,9.0,7.0,146.0,85.0,66.0,31.0,22.0,10.0,12.0,34.0,1235.0,129.0,442.0,4.0
2018-0319,Kitzbuhel,20180730,Clay,"Munar, Jaume",ESP,"Hanfmann, Yannick",GER,2-6 7-6(5) 6-1,3,R32,122.0,8.0,2.0,87.0,58.0,39.0,20.0,14.0,6.0,8.0,5.0,3.0,87.0,58.0,43.0,15.0,13.0,3.0,5.0,88.0,668.0,135.0,430.0,4.0
2018-M020,Brisbane,20180101,Hard,"Harrison, Ryan",USA,"Istomin, Denis",UZB,7-6(6) 4-2 RET,3,QF,96.0,11.0,2.0,60.0,34.0,27.0,14.0,9.0,1.0,2.0,3.0,1.0,67.0,46.0,29.0,12.0,9.0,5.0,7.0,47.0,1010.0,63.0,809.0,7.0
2018-0322,Geneva,20180521,Clay,"Donaldson, Jared",USA,"Istomin, Denis",UZB,5-7 6-4 6-0,3,R32,108.0,4.0,2.0,70.0,32.0,30.0,24.0,14.0,1.0,2.0,6.0,1.0,84.0,57.0,44.0,9.0,14.0,6.0,10.0,57.0,910.0,98.0,622.0,2.0
2018-580,Australian Open,20180115,Hard,"Edmund, Kyle",GBR,"Istomin, Denis",UZB,6-2 6-2 6-4,5,R64,89.0,9.0,1.0,64.0,43.0,40.0,13.0,13.0,0.0,0.0,4.0,0.0,79.0,45.0,30.0,15.0,13.0,4.0,9.0,49.0,992.0,60.0,848.0,6.0
2018-540,Wimbledon,20180702,Grass,"Kyrgios, Nick",AUS,"Istomin, Denis",UZB,7-6(3) 7-6(4) 6-7(5) 6-3,5,R128,154.0,42.0,6.0,144.0,105.0,87.0,22.0,24.0,5.0,5.0,6.0,2.0,126.0,86.0,67.0,31.0,24.0,2.0,3.0,18.0,1855.0,92.0,642.0,16.0
2018-7163,Istanbul,20180430,Clay,"Djere, Laslo",SRB,"Istomin, Denis",UZB,7-6(5) 7-6(6),3,R32,124.0,0.0,4.0,99.0,61.0,36.0,28.0,12.0,6.0,7.0,0.0,2.0,69.0,47.0,38.0,14.0,12.0,0.0,1.0,110.0,500.0,89.0,673.0,0.0
2018-0314,Gstaad,20180723,Clay,"Djere, Laslo",SRB,"Istomin, Denis",UZB,7-6(6) 7-5,3,R32,118.0,8.0,2.0,91.0,52.0,39.0,16.0,12.0,8.0,10.0,2.0,3.0,93.0,63.0,37.0,16.0,12.0,8.0,11.0,101.0,568.0,90.0,642.0,4.0
2018-0568,St. Petersburg,20180917,Hard,"Kukushkin, Mikhail",KAZ,"Istomin, Denis",UZB,7-5 2-4 RET,3,R32,98.0,4.0,2.0,56.0,33.0,24.0,12.0,9.0,2.0,4.0,8.0,2.0,74.0,49.0,36.0,7.0,9.0,5.0,7.0,87.0,656.0,61.0,867.0,2.0
2018-0495,Dubai,20180226,Hard,"Khachanov, Karen",RUS,"Istomin, Denis",UZB,7-6(1) 7-6(0),3,R32,94.0,14.0,3.0,82.0,55.0,44.0,14.0,12.0,3.0,4.0,7.0,1.0,74.0,51.0,38.0,11.0,12.0,3.0,4.0,41.0,1235.0,81.0,678.0,9.0
2018-520,Roland Garros,20180528,Clay,"Bautista Agut, Roberto",ESP,"Istomin, Denis",UZB,6-2 6-7(3) 1-6 6-4 6-4,5,R128,210.0,7.0,2.0,150.0,87.0,63.0,34.0,24.0,7.0,12.0,11.0,2.0,138.0,97.0,69.0,20.0,23.0,11.0,17.0,13.0,2120.0,100.0,602.0,2.0
2018-560,Us Open,20180827,Hard,"Johnson, Steve",USA,"Istomin, Denis",UZB,6-3 7-6(6) 6-3,5,R128,130.0,16.0,2.0,90.0,54.0,49.0,21.0,15.0,1.0,1.0,11.0,2.0,88.0,52.0,42.0,17.0,15.0,5.0,7.0,31.0,1340.0,76.0,759.0,7.0
2018-M014,Moscow,20181015,Hard,"Berankis, Ricardas",LTU,"Istomin, Denis",UZB,6-4 5-4 RET,3,R32,69.0,5.0,1.0,52.0,28.0,24.0,16.0,9.0,1.0,1.0,8.0,1.0,51.0,37.0,28.0,6.0,10.0,0.0,2.0,107.0,545.0,89.0,622.0,4.0
2018-M007,Miami Masters,20180319,Hard,"Carreno Busta, Pablo",ESP,"Istomin, Denis",UZB,6-1 6-0,3,R64,45.0,2.0,1.0,30.0,22.0,16.0,6.0,6.0,0.0,1.0,0.0,0.0,40.0,23.0,6.0,5.0,7.0,2.0,9.0,19.0,2045.0,85.0,658.0,3.0
2018-7434,Sofia,20180205,Hard,"Troicki, Viktor",SRB,"Istomin, Denis",UZB,7-6(4) 1-6 7-6(5),3,R16,127.0,13.0,2.0,103.0,68.0,45.0,18.0,16.0,6.0,10.0,5.0,2.0,93.0,64.0,48.0,15.0,15.0,2.0,3.0,67.0,755.0,74.0,713.0,6.0
2018-0316,Bastad,20180716,Clay,"Ymer, Mikael",SWE,"Istomin, Denis",UZB,6-3 6-3,3,R32,80.0,0.0,2.0,58.0,29.0,24.0,17.0,9.0,5.0,5.0,2.0,1.0,57.0,45.0,27.0,4.0,9.0,6.0,9.0,337.0,136.0,91.0,642.0,0.0
2018-0321,Stuttgart,20180611,Grass,"Pouille, Lucas",FRA,"Istomin, Denis",UZB,6-4 6-7(5) 6-3,3,QF,123.0,20.0,5.0,113.0,64.0,55.0,24.0,16.0,4.0,4.0,7.0,1.0,106.0,66.0,49.0,23.0,15.0,10.0,12.0,17.0,2030.0,100.0,567.0,10.0
2018-0319,Kitzbuhel,20180730,Clay,"Klizan, Martin",SVK,"Istomin, Denis",UZB,6-2 6-2,3,F,68.0,3.0,1.0,49.0,36.0,28.0,7.0,8.0,4.0,4.0,4.0,1.0,43.0,28.0,15.0,7.0,8.0,0.0,4.0,112.0,491.0,95.0,597.0,3.0
2018-M016,Eastbourne,20180625,Grass,"Cecchinato, Marco",ITA,"Istomin, Denis",UZB,4-6 6-4 7-5,3,R16,103.0,8.0,4.0,89.0,52.0,42.0,22.0,16.0,0.0,1.0,6.0,4.0,87.0,62.0,45.0,15.0,16.0,2.0,4.0,31.0,1453.0,91.0,622.0,5.0
2018-7648,Budapest,20180423,Clay,"Bublik, Alexander",RUS,"Istomin, Denis",UZB,6-7(6) 7-6(5) 7-5,3,R32,161.0,8.0,8.0,131.0,88.0,69.0,15.0,18.0,8.0,10.0,8.0,1.0,122.0,92.0,63.0,16.0,18.0,3.0,6.0,143.0,390.0,87.0,673.0,3.0
2018-M-DC-2018-WG-PO-GBR-UZB-01,Davis Cup WG PO: GBR vs UZB,20180914,Hard,"Evans, Daniel",GBR,"Istomin, Denis",UZB,7-6(4) 4-6 0-6 6-4 7-5,5,RR,251.0,8.0,7.0,167.0,104.0,74.0,30.0,25.0,5.0,12.0,13.0,6.0,190.0,122.0,87.0,27.0,25.0,18.0,23.0,222.0,257.0,60.0,884.0,2.0
2018-M020,Brisbane,20180101,Hard,"Harrison, Ryan",USA,"De Minaur, Alex",AUS,4-6 7-6(5) 6-4,3,SF,157.0,14.0,5.0,115.0,70.0,49.0,24.0,16.0,3.0,6.0,9.0,5.0,94.0,62.0,49.0,16.0,16.0,0.0,3.0,47.0,1010.0,208.0,245.0,5.0
2018-7290,Estoril,20180430,Clay,"Edmund, Kyle",GBR,"De Minaur, Alex",AUS,6-2 7-5,3,R16,97.0,4.0,0.0,67.0,39.0,27.0,15.0,10.0,7.0,9.0,4.0,1.0,60.0,36.0,22.0,9.0,10.0,3.0,8.0,23.0,1732.0,111.0,497.0,2.0
2018-520,Roland Garros,20180528,Clay,"Edmund, Kyle",GBR,"De Minaur, Alex",AUS,6-2 6-4 6-3,5,R128,116.0,2.0,7.0,76.0,41.0,35.0,20.0,14.0,4.0,5.0,3.0,4.0,83.0,47.0,28.0,16.0,13.0,3.0,9.0,17.0,1950.0,105.0,541.0,1.0
2018-0352,Paris Masters,20181029,Hard,"Lopez, Feliciano",ESP,"De Minaur, Alex",AUS,6-7(4) 6-4 7-6(6),3,R64,177.0,19.0,7.0,136.0,74.0,61.0,27.0,17.0,7.0,7.0,3.0,5.0,126.0,72.0,52.0,28.0,17.0,7.0,8.0,71.0,770.0,33.0,1308.0,6.0
2018-0329,Tokyo,20181001,Hard,"Tsitsipas, Stefanos",GRE,"De Minaur, Alex",AUS,6-3 5-7 6-1,3,R16,141.0,4.0,1.0,82.0,40.0,31.0,21.0,14.0,3.0,6.0,3.0,3.0,107.0,59.0,30.0,26.0,14.0,14.0,20.0,15.0,1962.0,38.0,1208.0,2.0
2018-7696,Next Gen Finals,20181105,Hard,"Tsitsipas, Stefanos",GRE,"De Minaur, Alex",AUS,2-4 4-1 4-3(3) 4-3(3),3,F,100.0,10.0,0.0,75.0,52.0,40.0,14.0,12.0,2.0,3.0,4.0,1.0,74.0,44.0,30.0,17.0,11.0,7.0,8.0,15.0,2095.0,31.0,1298.0,6.0
2018-M-DC-2018-WG-PO-AUT-AUS-01,Davis Cup WG PO: AUT vs AUS,20180914,Clay,"Thiem, Dominic",AUT,"De Minaur, Alex",AUS,6-4 6-2 3-6 6-4,5,RR,177.0,0.0,5.0,108.0,61.0,45.0,23.0,19.0,5.0,9.0,3.0,4.0,127.0,74.0,43.0,27.0,18.0,5.0,12.0,8.0,3665.0,38.0,1133.0,0.0
2018-M016,Eastbourne,20180625,Grass,"Kukushkin, Mikhail",KAZ,"De Minaur, Alex",AUS,6-1 6-2,3,R32,63.0,1.0,0.0,57.0,38.0,29.0,10.0,8.0,7.0,7.0,5.0,2.0,41.0,25.0,14.0,5.0,7.0,2.0,6.0,90.0,644.0,77.0,719.0,1.0
2018-6967,Shenzhen,20180924,Hard,"Herbert, Pierre Hugues",FRA,"De Minaur, Alex",AUS,7-5 2-6 7-6(8),3,SF,154.0,9.0,6.0,116.0,71.0,51.0,22.0,16.0,3.0,6.0,5.0,4.0,101.0,64.0,49.0,21.0,16.0,4.0,6.0,67.0,799.0,40.0,1133.0,4.0
2018-560,Us Open,20180827,Hard,"Cilic, Marin",CRO,"De Minaur, Alex",AUS,4-6 3-6 6-3 6-4 7-5,5,R32,240.0,14.0,9.0,161.0,97.0,71.0,25.0,25.0,6.0,13.0,4.0,9.0,172.0,96.0,65.0,36.0,25.0,20.0,28.0,7.0,4445.0,45.0,1043.0,4.0
2018-M006,Indian Wells Masters,20180305,Hard,"Del Potro, Juan Martin",ARG,"De Minaur, Alex",AUS,6-2 6-1,3,R64,69.0,5.0,0.0,47.0,29.0,21.0,12.0,8.0,2.0,3.0,0.0,3.0,47.0,26.0,11.0,9.0,7.0,4.0,9.0,8.0,3200.0,141.0,401.0,4.0
2018-6242,Winston Salem,20180820,Hard,"Medvedev, Daniil",RUS,"De Minaur, Alex",AUS,6-3 6-3,3,R32,91.0,7.0,7.0,59.0,31.0,24.0,13.0,9.0,2.0,3.0,2.0,4.0,73.0,39.0,24.0,15.0,9.0,11.0,15.0,57.0,952.0,43.0,1043.0,5.0
2018-540,Wimbledon,20180702,Grass,"Nadal, Rafael",ESP,"De Minaur, Alex",AUS,6-1 6-2 6-4,5,R32,122.0,5.0,1.0,76.0,44.0,34.0,23.0,13.0,3.0,3.0,8.0,5.0,77.0,43.0,26.0,17.0,12.0,7.0,12.0,1.0,8770.0,80.0,723.0,2.0
2018-M007,Miami Masters,20180319,Hard,"Nishioka, Yoshihito",JPN,"De Minaur, Alex",AUS,6-2 6-4,3,R128,76.0,0.0,2.0,53.0,31.0,20.0,15.0,9.0,2.0,4.0,2.0,3.0,56.0,35.0,17.0,10.0,9.0,2.0,7.0,374.0,109.0,130.0,428.0,0.0
2018-0315,Newport,20180716,Grass,"Karlovic, Ivo",CRO,"De Minaur, Alex",AUS,6-7(2) 7-6(3) 7-5,3,R32,144.0,19.0,13.0,114.0,59.0,50.0,30.0,18.0,2.0,3.0,5.0,9.0,117.0,67.0,53.0,28.0,18.0,2.0,4.0,110.0,515.0,68.0,801.0,8.0
2018-M-DC-2018-WG-M-AUS-GER-01,Davis Cup WG R1: AUS vs GER,20180202,Hard,"Zverev, Alexander",GER,"De Minaur, Alex",AUS,7-5 4-6 4-6 6-3 7-6(4),5,RR,234.0,15.0,7.0,167.0,104.0,80.0,34.0,27.0,9.0,13.0,6.0,1.0,159.0,111.0,78.0,27.0,26.0,6.0,10.0,5.0,4610.0,139.0,408.0,4.0
2018-M035,Washington,20180730,Hard,"Zverev, Alexander",GER,"De Minaur, Alex",AUS,6-2 6-4,3,F,74.0,6.0,4.0,48.0,29.0,26.0,11.0,9.0,0.0,0.0,0.0,2.0,58.0,28.0,18.0,15.0,9.0,8.0,11.0,3.0,5665.0,72.0,803.0,5.0
2018-5014,Shanghai Masters,20181008,Hard,"Zverev, Alexander",GER,"De Minaur, Alex",AUS,6-1 6-4,3,R16,69.0,6.0,2.0,52.0,34.0,28.0,11.0,9.0,5.0,5.0,0.0,2.0,50.0,33.0,20.0,7.0,8.0,1.0,4.0,5.0,4755.0,33.0,1238.0,5.0
2018-580,Australian Open,20180115,Hard,"Berdych, Tomas",CZE,"De Minaur, Alex",AUS,6-3 3-6 6-0 6-1,5,R128,125.0,5.0,4.0,87.0,56.0,47.0,14.0,16.0,1.0,3.0,4.0,4.0,102.0,75.0,43.0,9.0,15.0,8.0,15.0,20.0,2050.0,127.0,453.0,2.0
2018-M-DC-2018-WG-PO-AUT-AUS-01,Davis Cup WG PO: AUT vs AUS,20180914,Clay,"Novak, Dennis",AUT,"De Minaur, Alex",AUS,3-6 6-2 6-3 6-2,5,RR,148.0,5.0,3.0,105.0,72.0,45.0,16.0,17.0,5.0,10.0,5.0,5.0,105.0,62.0,36.0,17.0,17.0,5.0,14.0,133.0,425.0,38.0,1133.0,2.0
2018-6116,Atlanta,20180723,Hard,"Isner, John",USA,"De Minaur, Alex",AUS,6-3 6-2,3,R16,63.0,15.0,3.0,47.0,28.0,26.0,11.0,9.0,0.0,0.0,0.0,3.0,52.0,28.0,17.0,12.0,8.0,2.0,5.0,9.0,3490.0,68.0,795.0,14.0
2018-0429,Stockholm,20181015,Hard,"Kohlschreiber, Philipp",GER,"De Minaur, Alex",AUS,7-6(3) 6-7(2) 6-1,3,R32,161.0,5.0,2.0,106.0,61.0,47.0,21.0,16.0,4.0,7.0,3.0,3.0,112.0,70.0,48.0,17.0,15.0,7.0,12.0,35.0,1215.0,31.0,1308.0,2.0
2018-580,Australian Open,20180115,Hard,"Harrison, Ryan",USA,"Sela, Dudi",ISR,6-3 5-7 3-6 7-5 6-2,5,R128,219.0,15.0,6.0,160.0,99.0,68.0,27.0,25.0,6.0,13.0,5.0,4.0,150.0,95.0,57.0,26.0,25.0,10.0,19.0,45.0,1115.0,95.0,585.0,4.0
2018-0451,Doha,20180101,Hard,"Verdasco, Fernando",ESP,"Sela, Dudi",ISR,4-6 6-4 6-0,3,R32,110.0,6.0,6.0,90.0,57.0,35.0,13.0,13.0,9.0,15.0,1.0,4.0,82.0,49.0,23.0,12.0,13.0,7.0,16.0,35.0,1295.0,67.0,755.0,3.0
2018-0315,Newport,20180716,Grass,"Johnson, Steve",USA,"Sela, Dudi",ISR,6-2 6-3,3,QF,58.0,11.0,5.0,59.0,31.0,26.0,14.0,9.0,2.0,2.0,0.0,5.0,42.0,21.0,13.0,9.0,8.0,4.0,7.0,48.0,1005.0,156.0,357.0,11.0
2018-540,Wimbledon,20180702,Grass,"Nadal, Rafael",ESP,"Sela, Dudi",ISR,6-3 6-3 6-2,5,R128,110.0,3.0,4.0,76.0,56.0,44.0,11.0,13.0,3.0,4.0,5.0,4.0,84.0,48.0,30.0,14.0,13.0,8.0,14.0,1.0,8770.0,127.0,437.0,2.0
2018-M006,Indian Wells Masters,20180305,Hard,"Baghdatis, Marcos",CYP,"Sela, Dudi",ISR,7-6(5) 6-4,3,R32,108.0,9.0,5.0,71.0,32.0,22.0,14.0,11.0,4.0,10.0,1.0,7.0,102.0,61.0,33.0,15.0,11.0,6.0,13.0,102.0,564.0,97.0,595.0,5.0
2018-520,Roland Garros,20180528,Clay,"Ymer, Elias",SWE,"Sela, Dudi",ISR,7-6(3) 6-3 6-1,5,R128,132.0,6.0,2.0,97.0,58.0,41.0,21.0,14.0,5.0,7.0,2.0,4.0,108.0,55.0,34.0,20.0,14.0,5.0,11.0,122.0,453.0,104.0,572.0,3.0
2018-0499,Delray Beach,20180219,Hard,"Youzhny, Mikhail",RUS,"Sela, Dudi",ISR,7-5 6-4,3,R32,98.0,2.0,4.0,71.0,45.0,31.0,16.0,11.0,3.0,4.0,4.0,9.0,86.0,46.0,32.0,18.0,11.0,7.0,10.0,93.0,604.0,97.0,570.0,1.0
2018-0424,New York,20180212,Hard,"Tiafoe, Francis",USA,"Sela, Dudi",ISR,6-4 3-6 6-0,3,R16,94.0,6.0,1.0,80.0,54.0,39.0,14.0,12.0,8.0,9.0,7.0,6.0,81.0,45.0,32.0,17.0,13.0,4.0,8.0,98.0,569.0,100.0,550.0,4.0
2018-M-DC-2018-G1-EPA-M-CZE-ISR-01,Davis Cup G1 R2: CZE vs ISR,20180406,Clay,"Pavlasek, Adam",CZE,"Sela, Dudi",ISR,3-6 6-3 6-1,3,RR,106.0,4.0,3.0,80.0,57.0,39.0,12.0,13.0,5.0,7.0,1.0,2.0,86.0,52.0,37.0,11.0,12.0,5.0,10.0,208.0,268.0,98.0,613.0,2.0
2018-580,Australian Open,20180115,Hard,"Harrison, Ryan",USA,"Cuevas, Pablo",URU,6-4 7-6(5) 6-4,5,R64,116.0,14.0,3.0,93.0,58.0,51.0,18.0,16.0,0.0,0.0,7.0,7.0,102.0,56.0,43.0,22.0,16.0,3.0,5.0,45.0,1115.0,34.0,1345.0,7.0
